Date,Close,Open,High,Low
2011-03-23,105.75,104.85,106.34,104.38
2011-03-24,105.6,105.52,106.69,104.76
2011-03-25,105.4,105.46,105.95,104.5
2011-03-28,103.98,105.43,105.76,103.6
2011-03-29,104.79,103.94,105,102.7
2011-03-30,104.27,104.45,105.15,103.44
2011-03-31,106.72,104.31,106.83,104.12
2011-04-01,107.94,106.62,108.47,106.3
2011-04-04,108.47,108.29,108.78,107.58
2011-04-05,108.34,108.2,108.6,107.5
2011-04-06,108.83,107.99,109.15,107.72
2011-04-07,110.3,108.67,110.44,108.23
2011-04-08,112.79,110.32,113.21,110.11
2011-04-11,109.92,113.28,113.46,108.68
2011-04-12,106.25,108.97,110.24,105.47
2011-04-13,107.11,106.02,107.43,105.31
2011-04-14,108.11,107.32,108.55,105.77
2011-04-15,109.66,108.45,110.1,107.21
2011-04-18,107.12,109.43,109.44,106.54
2011-04-19,108.15,107.52,108.45,105.5
2011-04-20,111.45,108.45,111.66,107.96
2011-04-21,112.29,111.37,112.48,111
2011-04-25,112.28,112.34,113.48,111.08
2011-04-26,112.21,112.15,112.64,111.12
2011-04-27,112.76,111.89,113.4,110.71
2011-04-28,112.86,113.13,113.97,111.69
2011-04-29,113.93,112.82,114.18,112.25
2011-05-02,113.52,113.89,114.83,110.82
2011-05-03,111.05,112.98,113.22,110.3
2011-05-04,109.24,110.68,111.22,108.48
2011-05-05,99.8,108.78,109.38,98.25
2011-05-06,97.18,99.76,102.38,94.63
2011-05-09,102.55,98.11,103.4,97.42
2011-05-10,103.88,102.44,103.95,100.12
2011-05-11,98.21,103.69,104.6,97.5
2011-05-12,98.97,98.59,100.49,95.25
2011-05-13,99.65,98.81,100.7,97.09
2011-05-16,97.37,99.36,99.65,96.83
2011-05-17,96.91,96.98,97.81,95.02
2011-05-18,100.1,97.57,100.99,97.46
2011-05-19,98.44,99.76,100.79,98.16
2011-05-20,99.49,98.6,99.9,95.99
2011-05-23,97.7,99.68,100.04,96.37
2011-05-24,99.59,97.54,100.09,96.61
2011-05-25,101.32,99.27,101.63,98.2
2011-05-26,100.23,101.24,101.9,99.61
2011-05-27,100.59,100.16,101.24,100.04
2011-05-31,102.7,100.69,103.39,99.6
2011-06-01,100.29,102.68,103.31,99.63
2011-06-02,100.4,99.79,100.93,98.46
2011-06-03,100.22,100.87,100.87,98.12
2011-06-06,99.01,100.42,100.68,98.55
2011-06-07,99.09,98.82,99.75,97.74
2011-06-08,100.74,99.58,101.89,98.02
2011-06-09,101.93,100.83,102.44,100.74
2011-06-10,99.29,101.84,102.15,98.6
2011-06-13,97.3,98.77,99.32,96.13
2011-06-14,99.37,97.09,99.64,96.51
2011-06-15,94.81,99.68,99.95,94.01
2011-06-16,94.95,95.29,95.75,94.29
2011-06-17,93.01,95.1,95.4,91.84
2011-06-20,93.26,92.8,93.49,91.14
2011-06-21,93.4,93.49,94.74,92.5
2011-06-22,95.41,93.76,95.7,93.24
2011-06-23,91.02,94.4,94.47,89.69
2011-06-24,91.16,92.29,92.34,89.82
2011-06-27,90.61,91.16,91.3,89.61
2011-06-28,92.89,90.71,93.37,90.44
2011-06-29,94.77,93.37,95.84,92.66
2011-06-30,95.42,95.08,95.82,93.88
2011-07-01,94.94,95.12,95.39,93.45
2011-07-05,96.89,94.98,97.48,94.34
2011-07-06,96.65,97,97.79,95.9
2011-07-07,98.67,97.04,99.42,96.99
2011-07-08,96.2,98.79,99.18,95.6
2011-07-11,95.15,96.1,96.75,94.14
2011-07-12,97.43,95.09,97.5,93.55
2011-07-13,98.05,96.72,99.21,96.53
2011-07-14,95.69,97.59,98.88,94.53
2011-07-15,97.24,96.03,97.74,95.21
2011-07-18,95.93,97.37,97.69,94.69
2011-07-19,97.5,96.16,98.65,95.93
2011-07-20,98.14,98.11,99.02,96.64
2011-07-21,99.13,98.36,100.16,97.2
2011-07-22,99.87,99.2,100.19,98.43
2011-07-25,99.2,99.76,99.87,98.52
2011-07-26,99.59,99.15,100.62,97.76
2011-07-27,97.4,99.18,99.5,97.14
2011-07-28,97.44,97.27,98.01,96.51
2011-07-29,95.7,97.16,97.39,94.95
2011-08-01,94.89,96.2,98.6,93.42
2011-08-02,93.79,95.02,95.68,93.08
2011-08-03,91.93,93.15,93.75,91.22
2011-08-04,86.63,91.94,92.59,86.04
2011-08-05,86.88,86.5,88.32,82.87
2011-08-08,81.31,85.71,85.73,80.17
2011-08-09,79.3,81.1,83.05,75.71
2011-08-10,82.89,81.9,83.14,79.53
2011-08-11,85.72,81.95,85.97,81.03
2011-08-12,85.38,85.55,87.37,84.02
2011-08-15,87.88,85.59,88.05,84.4
2011-08-16,86.65,87.68,87.93,85.62
2011-08-17,87.58,87.1,89,86.65
2011-08-18,82.38,87.41,87.53,81.15
2011-08-19,82.26,81.3,83.55,79.17
2011-08-22,84.12,82.42,84.67,81.13
2011-08-23,85.44,84.45,86.39,83.4
2011-08-24,85.16,85.67,86.59,84.55
2011-08-25,85.3,85.17,86.56,83.01
2011-08-26,85.37,85.09,85.64,82.95
2011-08-29,87.27,85.33,87.62,85.11
2011-08-30,88.9,87.51,89.21,86.46
