Date,Close,Open,High,Low
2013-10-11,1703.2,1691.09,1703.44,1688.52
2013-10-14,1710.14,1699.86,1711.03,1692.13
2013-10-15,1698.06,1709.17,1711.57,1695.93
2013-10-16,1721.54,1700.49,1721.76,1700.49
2013-10-17,1733.15,1720.17,1733.45,1714.12
2013-10-18,1744.5,1736.72,1745.31,1735.74
2013-10-21,1744.66,1745.2,1747.79,1740.67
2013-10-22,1754.67,1746.48,1759.33,1746.48
2013-10-23,1746.38,1752.27,1752.27,1740.5
2013-10-24,1752.07,1747.48,1753.94,1745.5
2013-10-25,1759.77,1756.01,1759.82,1752.45
2013-10-28,1762.11,1759.42,1764.99,1757.67
2013-10-29,1771.95,1762.93,1772.09,1762.93
2013-10-30,1763.31,1772.27,1775.22,1757.24
2013-10-31,1756.54,1763.24,1768.53,1755.72
2013-11-01,1761.64,1758.7,1765.67,1752.7
2013-11-04,1767.93,1763.4,1768.78,1761.56
2013-11-05,1762.97,1765.67,1767.03,1755.76
2013-11-06,1770.49,1765,1773.74,1764.4
2013-11-07,1747.15,1770.74,1774.54,1746.2
2013-11-08,1770.61,1748.37,1770.78,1747.63
2013-11-11,1771.89,1769.96,1773.44,1767.85
2013-11-12,1767.69,1769.51,1771.78,1762.29
2013-11-13,1782,1764.37,1782,1760.64
2013-11-14,1790.62,1782.75,1791.53,1780.22
2013-11-15,1798.18,1790.66,1798.22,1790.66
2013-11-18,1791.53,1798.82,1802.33,1788
2013-11-19,1787.87,1790.79,1795.51,1784.72
2013-11-20,1781.37,1789.59,1795.73,1777.23
2013-11-21,1795.85,1783.52,1797.16,1783.52
2013-11-22,1804.76,1797.21,1804.84,1794.7
2013-11-25,1802.48,1806.33,1808.1,1800.58
2013-11-26,1802.75,1802.87,1808.42,1800.77
2013-11-27,1807.23,1803.48,1808.27,1802.77
2013-11-29,1805.81,1808.69,1813.55,1803.98
2013-12-02,1800.9,1806.55,1810.02,1798.6
2013-12-03,1795.15,1800.1,1800.1,1787.85
2013-12-04,1792.81,1793.15,1799.8,1779.09
2013-12-05,1785.03,1792.82,1792.82,1783.38
2013-12-06,1805.09,1788.36,1806.04,1788.36
2013-12-09,1808.37,1806.21,1811.52,1806.21
2013-12-10,1802.62,1807.6,1808.52,1801.75
2013-12-11,1782.22,1802.76,1802.97,1780.09
2013-12-12,1775.5,1781.71,1782.99,1772.28
2013-12-13,1775.32,1777.98,1780.92,1772.45
2013-12-16,1786.54,1777.48,1792.22,1777.48
2013-12-17,1781,1786.47,1786.77,1777.05
2013-12-18,1810.65,1781.46,1811.08,1767.99
2013-12-19,1809.6,1809,1810.88,1801.35
2013-12-20,1818.32,1810.39,1823.75,1810.25
2013-12-23,1827.99,1822.92,1829.75,1822.92
2013-12-24,1833.32,1828.02,1833.32,1828.02
2013-12-26,1842.02,1834.96,1842.84,1834.96
2013-12-27,1841.4,1842.97,1844.89,1839.81
2013-12-30,1841.07,1841.47,1842.47,1838.77
2013-12-31,1848.36,1842.61,1849.44,1842.41
2014-01-02,1831.98,1845.86,1845.86,1827.74
2014-01-03,1831.37,1833.21,1838.24,1829.13
2014-01-06,1826.77,1832.31,1837.16,1823.73
2014-01-07,1837.88,1828.71,1840.1,1828.71
2014-01-08,1837.49,1837.9,1840.02,1831.4
2014-01-09,1838.13,1839,1843.23,1830.38
2014-01-10,1842.37,1840.06,1843.15,1832.43
2014-01-13,1819.2,1841.26,1843.45,1815.52
2014-01-14,1838.88,1821.36,1839.26,1821.36
2014-01-15,1848.38,1840.52,1850.84,1840.52
2014-01-16,1845.89,1847.99,1847.99,1840.3
2014-01-17,1838.7,1844.23,1846.04,1835.23
2014-01-21,1843.8,1841.05,1849.31,1832.38
2014-01-22,1844.86,1844.71,1846.87,1840.88
2014-01-23,1828.46,1842.29,1842.29,1820.06
2014-01-24,1790.29,1826.96,1826.96,1790.29
2014-01-27,1781.56,1791.03,1795.98,1772.88
2014-01-28,1792.5,1783,1793.87,1779.49
2014-01-29,1774.2,1790.15,1790.15,1770.45
2014-01-30,1794.19,1777.17,1798.77,1777.17
2014-01-31,1782.59,1790.88,1793.88,1772.26
2014-02-03,1741.89,1782.68,1784.83,1739.66
2014-02-04,1755.2,1743.82,1758.73,1743.82
2014-02-05,1751.64,1753.38,1755.79,1737.92
2014-02-06,1773.43,1752.99,1774.06,1752.99
2014-02-07,1797.02,1776.01,1798.03,1776.01
2014-02-10,1799.84,1796.2,1799.94,1791.83
2014-02-11,1819.75,1800.45,1823.54,1800.41
2014-02-12,1819.26,1820.12,1826.55,1815.97
2014-02-13,1829.83,1814.82,1830.25,1809.22
2014-02-14,1838.63,1828.46,1841.65,1825.59
2014-02-18,1840.76,1839.03,1842.87,1835.01
2014-02-19,1828.75,1838.9,1847.5,1826.99
2014-02-20,1839.78,1829.24,1842.79,1824.58
2014-02-21,1836.25,1841.07,1846.13,1835.6
2014-02-24,1847.61,1836.78,1858.71,1836.78
2014-02-25,1845.12,1847.66,1852.91,1840.19
2014-02-26,1845.16,1845.79,1852.65,1840.66
2014-02-27,1854.29,1844.9,1854.53,1841.13
2014-02-28,1859.45,1855.12,1867.92,1847.67
2014-03-03,1845.73,1857.68,1857.68,1834.44
2014-03-04,1873.91,1849.23,1876.23,1849.23
2014-03-05,1873.81,1874.05,1876.53,1871.11
2014-03-06,1877.03,1874.18,1881.94,1874.18
2014-03-07,1878.04,1878.52,1883.57,1870.56
2014-03-10,1877.17,1877.86,1877.87,1867.04
2014-03-11,1867.63,1878.26,1882.35,1863.88
2014-03-12,1868.2,1866.15,1868.38,1854.38
2014-03-13,1846.34,1869.06,1874.4,1841.86
2014-03-14,1841.13,1845.07,1852.44,1839.57
2014-03-17,1858.83,1842.81,1862.3,1842.81
2014-03-18,1872.25,1858.92,1873.76,1858.92
2014-03-19,1860.77,1872.25,1874.14,1850.35
2014-03-20,1872.01,1860.09,1873.49,1854.63
2014-03-21,1866.52,1874.53,1883.97,1863.46
2014-03-24,1857.44,1867.67,1873.34,1849.69
2014-03-25,1865.62,1859.48,1871.87,1855.96
2014-03-26,1852.56,1867.09,1875.92,1852.56
2014-03-27,1849.04,1852.11,1855.55,1842.11
2014-03-28,1857.62,1850.07,1866.63,1850.07
2014-03-31,1872.34,1859.16,1875.18,1859.16
2014-04-01,1885.52,1873.96,1885.84,1873.96
2014-04-02,1890.9,1886.61,1893.17,1883.79
2014-04-03,1888.77,1891.43,1893.8,1882.65
2014-04-04,1865.09,1890.25,1897.28,1863.26
2014-04-07,1845.04,1863.92,1864.04,1841.48
2014-04-08,1851.96,1845.48,1854.95,1837.49
2014-04-09,1872.18,1852.64,1872.43,1852.38
2014-04-10,1833.08,1872.28,1872.53,1830.87
2014-04-11,1815.69,1830.65,1835.07,1814.36
2014-04-14,1830.61,1818.18,1834.19,1815.8
2014-04-15,1842.98,1831.45,1844.02,1816.29
2014-04-16,1862.31,1846.01,1862.31,1846.01
2014-04-17,1864.85,1861.73,1869.63,1856.72
2014-04-21,1871.89,1865.79,1871.89,1863.18
2014-04-22,1879.55,1872.57,1884.89,1872.57
2014-04-23,1875.39,1879.32,1879.75,1873.91
2014-04-24,1878.61,1881.97,1884.06,1870.24
2014-04-25,1863.4,1877.72,1877.72,1859.7
2014-04-28,1869.43,1865,1877.01,1850.61
2014-04-29,1878.33,1870.78,1880.6,1870.78
2014-04-30,1883.95,1877.1,1885.2,1872.69
2014-05-01,1883.68,1884.39,1888.59,1878.04
2014-05-02,1881.14,1885.3,1891.33,1878.5
2014-05-05,1884.66,1879.45,1885.51,1866.77
2014-05-06,1867.72,1883.69,1883.69,1867.72
2014-05-07,1878.21,1868.53,1878.83,1859.79
2014-05-08,1875.63,1877.39,1889.07,1870.05
2014-05-09,1878.48,1875.27,1878.57,1867.02
2014-05-12,1896.65,1880.03,1897.13,1880.03
2014-05-13,1897.45,1896.75,1902.17,1896.06
2014-05-14,1888.53,1897.13,1897.13,1885.77
2014-05-15,1870.85,1888.16,1888.16,1862.36
2014-05-16,1877.86,1871.19,1878.28,1864.82
2014-05-19,1885.08,1876.66,1886,1872.42
2014-05-20,1872.83,1884.88,1884.88,1868.14
2014-05-21,1888.03,1873.34,1888.8,1873.34
2014-05-22,1892.49,1888.19,1896.33,1885.39
2014-05-23,1900.53,1893.32,1901.26,1893.32
2014-05-27,1911.91,1902.01,1912.28,1902.01
2014-05-28,1909.78,1911.77,1914.46,1907.3
2014-05-29,1920.03,1910.6,1920.03,1909.82
2014-05-30,1923.57,1920.33,1924.03,1916.64
2014-06-02,1924.97,1923.87,1925.88,1915.98
2014-06-03,1924.24,1923.07,1925.07,1918.79
2014-06-04,1927.88,1923.06,1928.63,1918.6
2014-06-05,1940.46,1928.52,1941.74,1922.93
2014-06-06,1949.44,1942.41,1949.44,1942.41
2014-06-09,1951.27,1948.97,1955.55,1947.16
2014-06-10,1950.79,1950.34,1950.86,1944.64
2014-06-11,1943.89,1949.37,1949.37,1940.08
2014-06-12,1930.11,1943.35,1943.35,1925.78
2014-06-13,1936.16,1930.8,1937.3,1927.69
2014-06-16,1937.78,1934.84,1941.15,1930.91
2014-06-17,1941.99,1937.15,1943.69,1933.55
2014-06-18,1956.98,1942.73,1957.74,1939.29
2014-06-19,1959.48,1957.5,1959.87,1952.26
2014-06-20,1962.87,1960.45,1963.91,1959.17
